f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	pred	pred	SVM(minus)	SVM(plus)	Random Forest(minus)	Random Forest(plus)	kNN(minus)	kNN(plus)	SVM	Random Forest	kNN
-1	0.0239287	0.000128402	-0.918367	0.0277084	0.000298348	-0.814815	0.0306492	0.000435272	-0.77686	0.0324774	0.000511757	-0.786982	0.0388774	0.00102747	-0.813333	0.0508977	0.00176502	-0.816609	0.0618488	0.0028288	-0.764543	0.066666	0.00300663	-0.714286	0.0644978	0.00272932	~	?	0.998	0.002	0.981	0.019	1.000	0.000	minus	minus	minus
-1	0.0620304	0.00111137	-1	0.0638963	0.000846423	-0.938272	0.0640234	0.000699491	-0.917355	0.0660164	0.00091004	-0.863905	0.0740041	0.00135453	-0.782222	0.0756123	0.00146146	-0.705882	0.0738302	0.00148873	-0.65097	0.07261	0.00176229	-0.609977	0.0720126	0.00181927	~	?	0.992	0.008	0.629	0.371	0.779	0.221	minus	minus	minus
-0.08	0.0859983	0.00402051	-0.204082	0.0985193	0.0052521	-0.246914	0.0931609	0.0037446	-0.280992	0.0883832	0.0034713	-0.289941	0.0866655	0.00374221	-0.253333	0.0866864	0.00425149	-0.200692	0.0874503	0.00492268	-0.174515	0.0862663	0.00555409	-0.154195	0.0843965	0.0057839	~	?	0.436	0.564	0.779	0.221	0.051	0.949	plus	minus	plus
-0.76	0.136648	0.00356768	-0.591837	0.120986	0.00470867	-0.45679	0.105243	0.00470265	-0.347107	0.0893278	0.00483656	-0.272189	0.0806585	0.00450234	-0.182222	0.0731837	0.00413998	-0.124567	0.0674512	0.00386271	-0.0914127	0.0654135	0.00369079	-0.0544218	0.0635047	0.00360426	~	?	0.868	0.132	0.249	0.751	0.745	0.255	minus	plus	minus
-0.44	0.0718255	0.00161943	-0.346939	0.0616575	0.00125301	-0.358025	0.0508232	0.00135026	-0.355372	0.0473767	0.00137665	-0.420118	0.0448047	0.00146367	-0.493333	0.0438916	0.00147219	-0.536332	0.0443246	0.00149401	-0.556787	0.0441826	0.00153124	-0.591837	0.0443897	0.00159044	~	?	0.256	0.744	0.480	0.520	0.447	0.553	plus	plus	plus
-0.68	0.152904	0.00528032	-0.428571	0.134616	0.00573129	-0.308642	0.12266	0.00500269	-0.256198	0.108193	0.00458957	-0.242604	0.0990371	0.00448918	-0.262222	0.0948452	0.00412441	-0.259516	0.0902539	0.00372589	-0.246537	0.0859344	0.00358504	-0.22449	0.0826484	0.0034504	~	?	0.041	0.959	0.204	0.796	0.000	1.000	plus	plus	plus
0	0.0277193	0.000124744	0	0.0253487	0.000115226	0	0.0275668	0.000160324	-0.0165289	0.0291271	0.000256969	-0.0532544	0.0303094	0.000307528	-0.0755556	0.0307264	0.000407169	-0.0968858	0.0323615	0.000598402	-0.119114	0.0351198	0.000786496	-0.14966	0.0379451	0.00104226	~	?	0.998	0.002	0.935	0.065	1.000	0.000	minus	minus	minus
-0.84	0.0639409	0.000608561	-0.877551	0.0505751	0.000580517	-0.851852	0.045743	0.000442987	-0.793388	0.04309	0.00055685	-0.781065	0.0423814	0.000572947	-0.791111	0.0472546	0.00127914	-0.806228	0.0547694	0.00287818	-0.761773	0.059387	0.00286137	-0.736961	0.0574257	0.00266257	~	?	1.000	0.000	0.919	0.081	1.000	0.000	minus	minus	minus
0.04	0.085655	0.00216499	0.0612245	0.0752079	0.00283795	0.259259	0.076129	0.00257873	0.338843	0.0770545	0.00290982	0.349112	0.0714727	0.00245853	0.315556	0.0673312	0.00244198	0.307958	0.0634612	0.00224208	0.34072	0.0604329	0.00213891	0.378685	0.0600935	0.00204402	~	?	0.006	0.994	0.004	0.996	0.000	1.000	plus	plus	plus
-0.92	0.112275	0.00345024	-0.755102	0.112704	0.00560842	-0.580247	0.103646	0.00501454	-0.495868	0.0915132	0.0044481	-0.455621	0.0892237	0.00427698	-0.404444	0.0855639	0.00397716	-0.32872	0.0841595	0.00360512	-0.285319	0.0850068	0.00338309	-0.267574	0.0838197	0.00320585	~	?	0.392	0.608	0.533	0.467	0.000	1.000	plus	minus	plus
-0.6	0.0995563	0.00243944	-0.510204	0.0807336	0.00207781	-0.432099	0.0763376	0.00159772	-0.355372	0.0671298	0.00160992	-0.307692	0.0624951	0.00169386	-0.248889	0.0625073	0.0015468	-0.193772	0.058923	0.00145295	-0.144044	0.058195	0.00143595	-0.117914	0.0591114	0.00163494	~	?	0.360	0.640	0.207	0.793	0.535	0.465	plus	plus	minus
-1	0.0837132	0.00129225	-0.979592	0.0802426	0.000961754	-0.888889	0.0757357	0.00118773	-0.785124	0.070994	0.0010227	-0.763314	0.0795493	0.0018149	-0.737778	0.0914404	0.0027508	-0.716263	0.0995926	0.00359304	-0.720222	0.105193	0.00373537	-0.69161	0.112309	0.00481269	~	?	0.870	0.130	0.929	0.071	0.937	0.063	minus	minus	minus
-0.32	0.158859	0.00314388	-0.22449	0.127942	0.00342125	-0.271605	0.118682	0.00357039	-0.355372	0.124477	0.00332535	-0.426035	0.11927	0.0035555	-0.488889	0.107957	0.00356192	-0.522491	0.102668	0.00352111	-0.537396	0.0977218	0.00359025	-0.544218	0.0933262	0.00341001	~	?	0.108	0.892	0.212	0.788	0.000	1.000	plus	plus	plus
-0.28	0.10191	0.00176707	-0.0204082	0.0751765	0.000837596	0.0617284	0.0756389	0.0025039	0.0743802	0.0844192	0.00583301	0.142012	0.0820537	0.00556423	0.195556	0.0747411	0.00467484	0.245675	0.0728266	0.00445716	0.296399	0.0721262	0.00433043	0.351474	0.0683237	0.00388259	~	?	0.047	0.953	0.062	0.938	0.000	1.000	plus	plus	plus
-0.84	0.0955231	0.00113611	-0.714286	0.0963557	0.00175412	-0.580247	0.0948069	0.00200459	-0.520661	0.0880607	0.00185677	-0.467456	0.0844777	0.00176838	-0.44	0.0817339	0.00159952	-0.439446	0.0784241	0.00169004	-0.454294	0.0777026	0.00193307	-0.45805	0.0767972	0.00194536	~	?	0.035	0.965	0.263	0.737	0.528	0.472	plus	plus	minus
-0.04	0.0745543	0.00103916	-0.0204082	0.0621302	0.00144416	0.0617284	0.0668281	0.001352	0.272727	0.0624203	0.0015171	0.349112	0.0558297	0.0016837	0.377778	0.0599136	0.00255885	0.391003	0.0651504	0.00416558	0.415512	0.0662525	0.00427273	0.435374	0.0647949	0.00389006	~	?	0.048	0.952	0.008	0.992	0.000	1.000	plus	plus	plus
-1	0.0759584	0.00129632	-1	0.0627215	0.00166552	-0.925926	0.0647121	0.00202177	-0.785124	0.0668173	0.00247828	-0.656805	0.0639149	0.00253425	-0.564444	0.0600728	0.00254605	-0.522491	0.0580184	0.00252333	-0.451524	0.05636	0.00245167	-0.414966	0.0546696	0.00240757	~	?	0.091	0.909	0.331	0.669	0.126	0.874	plus	plus	plus
-1	0.0709378	0.00123995	-1	0.0875298	0.00191441	-0.925926	0.103367	0.00289244	-0.876033	0.105582	0.00288371	-0.840237	0.0971605	0.00346973	-0.826667	0.0949338	0.00371096	-0.820069	0.0948268	0.00368533	-0.822715	0.0952945	0.00362626	-0.816327	0.0930313	0.00334877	~	?	0.047	0.953	0.248	0.752	0.000	1.000	plus	plus	plus
-0.6	0.0656395	0.000947602	-0.428571	0.0484983	0.000899879	-0.358025	0.0429844	0.00082377	-0.404959	0.0408483	0.000814921	-0.455621	0.0393232	0.000880947	-0.502222	0.0387824	0.000977135	-0.529412	0.0378445	0.00104563	-0.540166	0.0374761	0.00113254	-0.573696	0.0388885	0.00124921	~	?	0.016	0.984	0.355	0.645	0.004	0.996	plus	plus	plus
-0.36	0.0745328	0.000985898	-0.0204082	0.0598509	0.000729149	0.160494	0.0499474	0.000878549	0.190083	0.0494819	0.000822636	0.207101	0.0446533	0.000806241	0.208889	0.0415487	0.000784005	0.204152	0.0400579	0.000735046	0.174515	0.0405862	0.000747142	0.138322	0.0426171	0.000788236	~	?	0.033	0.967	0.005	0.995	0.000	1.000	plus	plus	plus
-0.8	0.12594	0.00258813	-0.795918	0.0996958	0.00298062	-0.728395	0.0959361	0.00318689	-0.636364	0.107122	0.0028837	-0.60355	0.112411	0.00308071	-0.564444	0.106767	0.00357222	-0.515571	0.100439	0.00418335	-0.495845	0.097295	0.00436007	-0.505669	0.092789	0.00438443	~	?	0.964	0.036	0.761	0.239	0.281	0.719	minus	minus	plus
-1	0.0827846	0.00159845	-0.959184	0.0817782	0.00125818	-0.950617	0.0820474	0.00165529	-0.942149	0.0736691	0.00169095	-0.946746	0.0651031	0.00166474	-0.906667	0.0612277	0.00151167	-0.858131	0.0598836	0.00151974	-0.814404	0.0613147	0.00151556	-0.770975	0.0611486	0.00146299	~	?	0.061	0.939	0.416	0.584	0.000	1.000	plus	plus	plus
-0.36	0.0753649	0.00117731	0.0204082	0.060324	0.00104959	0.209877	0.050834	0.00102591	0.322314	0.0445069	0.000954036	0.408284	0.0390079	0.000863256	0.475556	0.0349412	0.000786634	0.536332	0.0326029	0.000713949	0.578947	0.0309142	0.000691118	0.600907	0.0303692	0.000725659	~	?	0.037	0.963	0.004	0.996	0.000	1.000	plus	plus	plus
-0.2	0.149164	0.00275212	-0.0816327	0.10626	0.00394811	-0.111111	0.0984133	0.00364572	-0.140496	0.0948445	0.00406442	-0.147929	0.0869349	0.00360765	-0.2	0.0806169	0.0032715	-0.235294	0.0759435	0.00306092	-0.263158	0.0789135	0.00320506	-0.321995	0.0790635	0.00310102	~	?	0.802	0.198	0.386	0.614	0.275	0.725	minus	plus	plus
-0.68	0.0938026	0.00218227	-0.755102	0.102449	0.00344887	-0.777778	0.106818	0.00471444	-0.752066	0.0922797	0.00433707	-0.733728	0.0829115	0.00412923	-0.737778	0.0758274	0.00377676	-0.743945	0.0700927	0.00353179	-0.750693	0.0684741	0.00344034	-0.761905	0.0646288	0.00319233	~	?	0.044	0.956	0.450	0.550	0.012	0.988	plus	plus	plus
-1	0.126934	0.00400466	-0.714286	0.118627	0.00441726	-0.555556	0.0864478	0.00377293	-0.504132	0.0790901	0.0033315	-0.550296	0.0751529	0.00333465	-0.573333	0.0687585	0.00324532	-0.553633	0.0705734	0.00329773	-0.540166	0.0718123	0.00338345	-0.546485	0.0715288	0.00349441	~	?	0.223	0.777	0.570	0.430	0.000	1.000	plus	minus	plus
-0.12	0.0838335	0.00145911	-0.102041	0.0665831	0.00185474	-0.185185	0.0738566	0.00194505	-0.173554	0.0694094	0.00193754	-0.136095	0.0632708	0.00173302	-0.111111	0.0607048	0.00165251	-0.141869	0.0601866	0.001668	-0.157895	0.0593517	0.00178286	-0.174603	0.0591727	0.00193326	~	?	0.025	0.975	0.186	0.814	0.000	1.000	plus	plus	plus
-0.84	0.0461757	0.000541753	-0.673469	0.0549866	0.000672968	-0.592593	0.0528895	0.000919194	-0.553719	0.0561269	0.00106635	-0.508876	0.0589646	0.00136522	-0.506667	0.059944	0.00114632	-0.532872	0.0598364	0.00113437	-0.545706	0.0595827	0.00124427	-0.544218	0.0589965	0.00130983	~	?	0.009	0.991	0.625	0.375	0.021	0.979	plus	minus	plus
-0.92	0.097154	0.00110717	-0.836735	0.0806314	0.00127855	-0.82716	0.0692817	0.00152363	-0.85124	0.0674184	0.0014374	-0.893491	0.0636684	0.00123998	-0.92	0.0588334	0.00112643	-0.923875	0.0561358	0.00106081	-0.916898	0.0538667	0.000989022	-0.863946	0.0520113	0.000962553	~	?	0.985	0.015	0.706	0.294	0.986	0.014	minus	minus	minus
-0.28	0.0392634	0.000564845	-0.22449	0.037837	0.000489628	-0.308642	0.0363165	0.000475386	-0.38843	0.0340331	0.00050258	-0.443787	0.0320969	0.000478594	-0.466667	0.0315765	0.00049604	-0.49481	0.0320783	0.000511152	-0.523546	0.0322913	0.000619415	-0.55102	0.033891	0.000756913	~	?	0.415	0.585	0.272	0.728	0.107	0.893	plus	plus	plus
-0.52	0.0562283	0.0017498	-0.612245	0.0797722	0.00305474	-0.666667	0.083232	0.00278196	-0.661157	0.0860238	0.00242867	-0.686391	0.091843	0.00271187	-0.697778	0.0928993	0.00311983	-0.712803	0.0927946	0.00360065	-0.706371	0.0922742	0.00392062	-0.684807	0.089021	0.00377256	~	?	0.999	0.001	0.832	0.168	1.000	0.000	minus	minus	minus
-1	0.0446551	0.000803331	-1	0.0522205	0.00135801	-0.901235	0.0551002	0.00148796	-0.77686	0.0563871	0.00156798	-0.686391	0.0560672	0.00152571	-0.657778	0.0589858	0.00153039	-0.678201	0.0653215	0.00153953	-0.711911	0.0666941	0.0017327	-0.723356	0.0652563	0.00168841	~	?	0.971	0.029	0.721	0.279	0.878	0.122	minus	minus	minus
-1	0.0841404	0.00258222	-0.938776	0.0830977	0.00276886	-0.864198	0.070881	0.00251219	-0.826446	0.0661102	0.00250216	-0.828402	0.0615931	0.00225479	-0.791111	0.0635913	0.00225933	-0.747405	0.0661766	0.00243754	-0.6759	0.0667464	0.00233731	-0.680272	0.071989	0.00252545	~	?	0.989	0.011	0.785	0.215	1.000	0.000	minus	minus	minus
-1	0.0449171	0.000544312	-1	0.0373879	0.000337394	-1	0.0381434	0.000470272	-1	0.0412789	0.000601782	-1	0.0432996	0.000628836	-0.977778	0.0447338	0.000813377	-0.927336	0.0474646	0.000879356	-0.886427	0.0496403	0.000892534	-0.857143	0.0523324	0.000971698	~	?	1.000	0.000	0.946	0.054	1.000	0.000	minus	minus	minus
-0.04	0.0545668	0.00092362	0.0204082	0.0616579	0.0012533	0.185185	0.0629034	0.00157253	0.256198	0.0533293	0.00113821	0.289941	0.05681	0.00204997	0.315556	0.0631131	0.00415375	0.373702	0.0642634	0.00411221	0.409972	0.0611658	0.00368217	0.414966	0.0615998	0.00367696	~	?	0.036	0.964	0.010	0.990	0.000	1.000	plus	plus	plus
-0.44	0.156041	0.0114345	-0.469388	0.119511	0.0100231	-0.506173	0.0952609	0.0086872	-0.528926	0.0797173	0.00787679	-0.550296	0.0772258	0.0069765	-0.537778	0.0875183	0.00850977	-0.50519	0.0938744	0.00960575	-0.465374	0.0882275	0.00838775	-0.444444	0.0877652	0.00738854	~	?	0.943	0.057	1.000	0.000	1.000	0.000	minus	minus	minus
-0.24	0.167593	0.00729799	-0.265306	0.131017	0.00630581	-0.432099	0.121416	0.00597705	-0.504132	0.106617	0.00509735	-0.568047	0.0890696	0.00472624	-0.617778	0.0786554	0.00432233	-0.643599	0.0715973	0.00388662	-0.65097	0.0665436	0.00369016	-0.664399	0.063073	0.00356871	~	?	0.932	0.068	0.722	0.278	1.000	0.000	minus	minus	minus
-0.84	0.0680689	0.00166803	-0.673469	0.068423	0.00233472	-0.604938	0.0777751	0.00288699	-0.520661	0.0729967	0.00252903	-0.491124	0.0655527	0.00221977	-0.475556	0.0644959	0.00209876	-0.460208	0.0622765	0.00223992	-0.423823	0.0615967	0.00231993	-0.39229	0.058911	0.00216592	~	?	0.050	0.950	0.341	0.659	0.000	1.000	plus	plus	plus
-1	0.0520104	0.000633958	-0.959184	0.0669184	0.00176427	-0.901235	0.0758687	0.00205935	-0.818182	0.0853905	0.00237415	-0.727811	0.0874655	0.00233321	-0.64	0.0865967	0.00225523	-0.581315	0.0868977	0.00236142	-0.512465	0.0877505	0.00277412	-0.453515	0.0855258	0.00285935	~	?	0.061	0.939	0.365	0.635	0.000	1.000	plus	plus	plus
-0.44	0.118642	0.00412418	-0.265306	0.0923076	0.00251614	-0.160494	0.0935327	0.00231421	-0.0247934	0.0897841	0.00190962	-0.00591716	0.0794302	0.00209105	-0.0666667	0.0774571	0.00200406	-0.114187	0.0738877	0.00198162	-0.135734	0.0702593	0.00214497	-0.147392	0.0705877	0.00219273	~	?	0.059	0.941	0.171	0.829	0.009	0.991	plus	plus	plus
-1	0.0769806	0.000318482	-1	0.0600934	0.0010609	-1	0.0582433	0.00128315	-0.983471	0.0571979	0.00143537	-0.95858	0.0564173	0.00134947	-0.915556	0.0578276	0.001208	-0.878893	0.0588332	0.00123131	-0.853186	0.05801	0.00114056	-0.820862	0.0564348	0.00115454	~	?	0.990	0.010	0.961	0.039	1.000	0.000	minus	minus	minus
-1	0.0934221	0.00268332	-0.877551	0.0943258	0.00216629	-0.777778	0.0817726	0.00194462	-0.68595	0.0722539	0.00201249	-0.609467	0.068795	0.00197367	-0.537778	0.0643494	0.0021071	-0.491349	0.0617802	0.0022646	-0.468144	0.0603682	0.00247687	-0.419501	0.0595195	0.00257822	~	?	0.240	0.760	0.344	0.656	0.511	0.489	plus	plus	minus
-1	0.0786965	0.00103	-1	0.0740787	0.00106174	-0.975309	0.0699958	0.00112692	-0.834711	0.0715029	0.00142711	-0.692308	0.0723488	0.00152266	-0.608889	0.0655217	0.00122021	-0.564014	0.0634511	0.0012387	-0.523546	0.0639086	0.00138757	-0.510204	0.063071	0.0014631	~	?	0.016	0.984	0.275	0.725	0.000	1.000	plus	plus	plus
-0.24	0.0406914	0.000381301	-0.285714	0.0329492	0.00020801	-0.358025	0.0316049	0.000250099	-0.413223	0.0340553	0.000542697	-0.449704	0.0391908	0.00102045	-0.44	0.0427721	0.00114307	-0.432526	0.0450968	0.00116845	-0.404432	0.0471102	0.00126505	-0.390023	0.0489757	0.00138936	~	?	0.992	0.008	0.939	0.061	0.813	0.187	minus	minus	minus
0	0.030049	0.00014361	0	0.0284751	9.58732e-005	0	0.0280502	0.000153148	0	0.0310002	0.000281739	-0.00591716	0.0365536	0.00070972	-0.04	0.0477193	0.00176585	-0.107266	0.0577545	0.00312267	-0.152355	0.0612191	0.00326655	-0.174603	0.0590193	0.00276493	~	?	0.992	0.008	0.975	0.025	1.000	0.000	minus	minus	minus
-1	0.035494	0.000504509	-1	0.0386587	0.000407904	-0.901235	0.0416533	0.000517584	-0.785124	0.0395342	0.000670174	-0.692308	0.0367974	0.000769676	-0.662222	0.0356762	0.000828661	-0.653979	0.0349701	0.000867949	-0.65097	0.0351591	0.000946537	-0.655329	0.0365203	0.00100488	~	?	0.015	0.985	0.291	0.709	0.000	1.000	plus	plus	plus
-1	0.102047	0.00441772	-0.755102	0.0986435	0.00549577	-0.654321	0.0780169	0.00365659	-0.652893	0.0747728	0.00410966	-0.656805	0.0755785	0.0048141	-0.662222	0.0703605	0.00407668	-0.67128	0.0664368	0.00376732	-0.703601	0.0629449	0.00344342	-0.736961	0.0604942	0.0032588	~	?	0.003	0.997	0.432	0.568	0.000	1.000	plus	plus	plus
-0.68	0.0652734	0.000648504	-0.693878	0.05297	0.000496773	-0.716049	0.0454285	0.000601198	-0.760331	0.04868	0.00059417	-0.804734	0.0527131	0.000862926	-0.831111	0.0543506	0.00097571	-0.844291	0.0553055	0.00104411	-0.842105	0.055017	0.00101718	-0.8322	0.0544957	0.00106929	~	?	0.999	0.001	0.904	0.096	1.000	0.000	minus	minus	minus
-1	0.0700953	0.000887603	-1	0.0641675	0.00112702	-1	0.0631091	0.00107504	-0.958678	0.0591077	0.00103026	-0.946746	0.0582763	0.00112684	-0.933333	0.0655742	0.00154867	-0.903114	0.0742085	0.00249366	-0.839335	0.0773248	0.00259351	-0.732426	0.0732839	0.00219955	~	?	1.000	0.000	0.744	0.256	1.000	0.000	minus	minus	minus
-1	0.0316644	0.000189607	-1	0.0344237	0.000209385	-0.950617	0.0320734	0.00024436	-0.85124	0.0326775	0.00026742	-0.715976	0.0324542	0.000378868	-0.635556	0.0335942	0.000512711	-0.612457	0.0337503	0.000596725	-0.612188	0.0345873	0.000761692	-0.614512	0.0352627	0.000847708	~	?	0.017	0.983	0.478	0.522	0.000	1.000	plus	plus	plus
-0.4	0.12192	0.00419362	-0.44898	0.102428	0.00477495	-0.444444	0.0890698	0.00514945	-0.404959	0.0814705	0.00489391	-0.378698	0.0778093	0.00437234	-0.404444	0.074368	0.00397701	-0.442907	0.0725596	0.0036569	-0.479224	0.0740078	0.00348221	-0.514739	0.0750735	0.00346821	~	?	0.414	0.586	0.550	0.450	0.022	0.978	plus	minus	plus
-0.84	0.101206	0.00299092	-0.795918	0.102625	0.00230581	-0.777778	0.0983792	0.00200716	-0.752066	0.085761	0.00214166	-0.727811	0.0790551	0.00230252	-0.715556	0.0802085	0.00215494	-0.695502	0.0803344	0.00209344	-0.68144	0.0788113	0.00222621	-0.671202	0.0831989	0.00257203	~	?	0.083	0.917	0.638	0.362	0.082	0.918	plus	minus	plus
-0.76	0.107513	0.00138852	-0.77551	0.0979223	0.00225873	-0.82716	0.102013	0.00265133	-0.876033	0.0986108	0.00338986	-0.863905	0.0913822	0.0037422	-0.813333	0.0893382	0.00431734	-0.750865	0.0862572	0.00465192	-0.68144	0.0873516	0.00449734	-0.596372	0.0878578	0.00495005	~	?	0.998	0.002	0.956	0.044	0.927	0.073	minus	minus	minus
-1	0.04821	0.000778524	-0.979592	0.0612269	0.00142934	-0.987654	0.0605672	0.00183944	-0.92562	0.0566477	0.00137741	-0.887574	0.0517183	0.00107646	-0.897778	0.0507748	0.00106895	-0.920415	0.0535222	0.00111507	-0.933518	0.0568486	0.00118585	-0.945578	0.0578911	0.0012596	~	?	1.000	0.000	0.940	0.060	1.000	0.000	minus	minus	minus
0.2	0.0511891	0.000911827	0.183673	0.0535095	0.000977493	0.358025	0.0519732	0.00113328	0.471074	0.0438081	0.00106094	0.538462	0.0396671	0.000981978	0.573333	0.036213	0.000901588	0.591695	0.0329502	0.000837373	0.584488	0.0309902	0.000756092	0.578231	0.029157	0.000693496	~	?	0.040	0.960	0.004	0.996	0.000	1.000	plus	plus	plus
-0.76	0.125873	0.00292361	-0.714286	0.0958665	0.00359599	-0.691358	0.088272	0.00343419	-0.603306	0.0820887	0.00332067	-0.538462	0.0784542	0.00303614	-0.48	0.0745501	0.00279881	-0.467128	0.0726176	0.00266396	-0.454294	0.070611	0.00247008	-0.462585	0.0696838	0.00231796	~	?	0.917	0.083	0.587	0.413	0.559	0.441	minus	minus	minus
-0.56	0.145955	0.00421488	-0.469388	0.121471	0.00374972	-0.395062	0.0986693	0.00393611	-0.305785	0.089732	0.00373044	-0.224852	0.0854437	0.00323078	-0.186667	0.0805118	0.00312634	-0.155709	0.0770324	0.00319102	-0.119114	0.0748679	0.00325711	-0.104308	0.0747274	0.00373633	~	?	0.126	0.874	0.239	0.761	0.217	0.783	plus	plus	plus
-0.92	0.111893	0.00323109	-0.77551	0.0887761	0.00293463	-0.839506	0.0784988	0.00291399	-0.876033	0.0742507	0.00287028	-0.869823	0.0714166	0.00291845	-0.866667	0.0703646	0.00342843	-0.84083	0.0712385	0.00384251	-0.786704	0.0693993	0.00336027	-0.759637	0.0732761	0.00353414	~	?	0.996	0.004	0.721	0.279	0.791	0.209	minus	minus	minus
-1	0.0640325	0.00145283	-0.918367	0.0646777	0.00117654	-0.925926	0.0634827	0.00142874	-0.92562	0.0623943	0.00183524	-0.911243	0.0594354	0.00187917	-0.871111	0.056783	0.00189834	-0.792388	0.0552339	0.00186222	-0.722992	0.056851	0.00205356	-0.680272	0.0595723	0.00268443	~	?	0.804	0.196	0.636	0.364	0.535	0.465	minus	minus	minus
-0.8	0.0908283	0.00330125	-0.857143	0.0875281	0.00225832	-0.740741	0.079506	0.00168177	-0.735537	0.0734362	0.00163333	-0.751479	0.0722253	0.00165192	-0.746667	0.0702089	0.00154156	-0.747405	0.0684251	0.00151743	-0.731302	0.0653525	0.00149715	-0.718821	0.0658902	0.00147481	~	?	0.991	0.009	0.853	0.147	1.000	0.000	minus	minus	minus
-0.76	0.0720874	0.00573122	-0.714286	0.0656859	0.00407241	-0.62963	0.0756611	0.00608068	-0.438017	0.0780432	0.00634732	-0.325444	0.0744464	0.00608456	-0.173333	0.07114	0.00600482	-0.0657439	0.0680559	0.00570303	-0.00277008	0.0676638	0.00564798	0.0294785	0.0672305	0.00551684	~	?	0.072	0.928	0.131	0.869	0.004	0.996	plus	plus	plus
-0.36	0.0481692	0.000718128	-0.265306	0.0397075	0.000597128	-0.308642	0.0380224	0.000567141	-0.404959	0.0368533	0.000578753	-0.443787	0.0343369	0.000565557	-0.475556	0.0340832	0.000608014	-0.50173	0.0328285	0.000660066	-0.529086	0.0339723	0.000772213	-0.555556	0.0355478	0.000901887	~	?	0.170	0.830	0.229	0.771	0.065	0.935	plus	plus	plus
-0.68	0.127251	0.00354156	-0.510204	0.113312	0.00415777	-0.333333	0.100692	0.00399252	-0.22314	0.0849458	0.00350858	-0.0769231	0.0747449	0.0031737	0.0222222	0.0678082	0.0028533	0.0449827	0.0654215	0.00247284	0.0415512	0.0631574	0.00230767	0.0294785	0.0656618	0.00261912	~	?	0.011	0.989	0.067	0.933	0.000	1.000	plus	plus	plus
-1	0.0735621	0.000694144	-1	0.0602846	0.00117496	-1	0.0626399	0.00186573	-0.983471	0.0640864	0.00212758	-0.881657	0.062888	0.00224703	-0.76	0.0600912	0.0023492	-0.6609	0.0595929	0.00235013	-0.540166	0.0584722	0.0022899	-0.469388	0.0582453	0.00227535	~	?	0.027	0.973	0.266	0.734	0.000	1.000	plus	plus	plus
-1	0.0689961	0.00109507	-1	0.0785638	0.00124598	-0.975309	0.0779132	0.00166949	-0.933884	0.0745712	0.00139361	-0.899408	0.0690107	0.00133497	-0.866667	0.0633326	0.00126458	-0.82699	0.0591402	0.00114888	-0.800554	0.0570983	0.00107891	-0.759637	0.0549094	0.0011199	~	?	0.040	0.960	0.401	0.599	0.000	1.000	plus	plus	plus
0	0.0260735	0.000135298	0	0.0272201	0.000117256	-0.0123457	0.0257068	0.00011334	-0.0247934	0.0274302	0.00019713	-0.0591716	0.0290078	0.000294601	-0.0977778	0.0298432	0.00036449	-0.117647	0.031447	0.000585706	-0.138504	0.0352428	0.000840438	-0.181406	0.0398435	0.0010871	~	?	0.998	0.002	0.931	0.069	1.000	0.000	minus	minus	minus
-0.2	0.0276989	0.000118594	-0.142857	0.0232443	0.000135943	-0.111111	0.0235334	0.000153891	-0.14876	0.0268422	0.000219447	-0.218935	0.0319345	0.000605595	-0.266667	0.0363301	0.000996311	-0.311419	0.0369092	0.00100721	-0.362881	0.0368452	0.000927296	-0.412698	0.039282	0.000976315	~	?	0.989	0.011	0.949	0.051	1.000	0.000	minus	minus	minus
-0.32	0.0859384	0.000946395	-0.571429	0.0906638	0.00131323	-0.666667	0.0816339	0.000993496	-0.710744	0.0777172	0.00112253	-0.698225	0.08174	0.00147295	-0.662222	0.0854319	0.00167314	-0.612457	0.0875035	0.00186924	-0.592798	0.0878652	0.00188836	-0.569161	0.0845539	0.00198496	~	?	0.974	0.026	0.821	0.179	1.000	0.000	minus	minus	minus
-0.64	0.0638383	0.000707193	-0.77551	0.0687583	0.000939011	-0.864198	0.0715597	0.00208492	-0.77686	0.0795117	0.00312669	-0.662722	0.0776138	0.00308186	-0.604444	0.0766195	0.00305307	-0.602076	0.0810217	0.00334553	-0.598338	0.0830576	0.0035838	-0.594104	0.0815365	0.00327987	~	?	1.000	0.000	0.811	0.189	1.000	0.000	minus	minus	minus
-0.16	0.0311573	0.000292581	-0.367347	0.0405587	0.000507326	-0.481481	0.0361362	0.000300006	-0.603306	0.0493706	0.00142359	-0.662722	0.0623177	0.00368946	-0.644444	0.0620263	0.00346753	-0.647059	0.0586832	0.00320423	-0.67313	0.0603008	0.00334588	-0.705215	0.0616444	0.00334757	~	?	0.939	0.061	0.947	0.053	1.000	0.000	minus	minus	minus
-0.2	0.106207	0.00172508	-0.102041	0.0974506	0.00216827	-0.0740741	0.0887107	0.00896156	-0.0330578	0.0935288	0.0120712	-0.035503	0.108133	0.0134614	-0.0444444	0.111587	0.0131175	-0.0276817	0.106121	0.0109587	-0.0110803	0.102287	0.00990111	0.0204082	0.0978907	0.00924489	~	?	0.927	0.073	1.000	0.000	1.000	0.000	minus	minus	minus
