@relation 'training-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.supervised.attribute.AddClassification-Wweka.classifiers.rules.ZeroR-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28'

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric
@attribute k numeric
@attribute l numeric
@attribute m numeric
@attribute n numeric
@attribute o numeric
@attribute p numeric
@attribute q numeric
@attribute r numeric
@attribute s numeric
@attribute t numeric
@attribute u numeric
@attribute v numeric
@attribute w numeric
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute aa numeric
@attribute bb {1,-1}

@data
-0.96,0.037703,0.00027,-0.938776,0.051874,0.00123,-0.876543,0.060396,0.001635,-0.842975,0.065041,0.002145,-0.828402,0.07125,0.003089,-0.813333,0.074463,0.003573,-0.768166,0.073632,0.003685,-0.736842,0.070506,0.003527,-0.709751,0.070919,0.003707,-1
-1,0.073504,0.00164,-0.918367,0.068278,0.001383,-0.901235,0.070977,0.002816,-0.900826,0.071355,0.004272,-0.869822,0.069293,0.00384,-0.853333,0.068815,0.003714,-0.83737,0.06588,0.003425,-0.817175,0.062545,0.003211,-0.804989,0.060479,0.003156,1
-0.16,0.11348,0.006331,-0.306122,0.13308,0.005664,-0.419753,0.144948,0.005968,-0.454545,0.137551,0.005414,-0.467456,0.131853,0.005203,-0.511111,0.131222,0.004772,-0.515571,0.12819,0.004721,-0.512465,0.118682,0.004668,-0.521542,0.111529,0.004759,-1
-0.36,0.104432,0.001813,-0.428571,0.088027,0.001669,-0.358025,0.072817,0.001666,-0.272727,0.066622,0.001606,-0.171598,0.060577,0.00177,-0.048889,0.056746,0.001902,-0.00346,0.056776,0.002094,0.00277,0.057839,0.002413,-0.020408,0.060116,0.00251,1
0,0.014613,0.000625,0,0.016905,0.000866,-0.012346,0.017845,0.000977,-0.041322,0.033983,0.003176,-0.100592,0.060272,0.007371,-0.164444,0.067905,0.008737,-0.186851,0.064237,0.007174,-0.204986,0.05782,0.006348,-0.231293,0.055743,0.005871,-1
-0.6,0.134574,0.004336,-0.428571,0.107215,0.003419,-0.382716,0.092998,0.003152,-0.438017,0.084263,0.003357,-0.47929,0.074244,0.003101,-0.475556,0.073895,0.003112,-0.480969,0.072979,0.003381,-0.506925,0.073509,0.003657,-0.517007,0.073827,0.003745,1
-0.28,0.074945,0.000935,-0.22449,0.075444,0.0012,-0.08642,0.071973,0.001185,0.008264,0.064582,0.001289,0.04142,0.058515,0.001198,0.048889,0.054081,0.001103,0.051903,0.050506,0.001033,0.047091,0.047168,0.000981,0.047619,0.044945,0.000897,1
-0.12,0.058569,0.001324,-0.102041,0.054576,0.001009,0.135802,0.051418,0.001083,0.272727,0.043904,0.000913,0.372781,0.039465,0.000789,0.457778,0.035598,0.000743,0.508651,0.032653,0.000722,0.540166,0.031122,0.000751,0.546485,0.030371,0.000798,1
-0.76,0.124612,0.004857,-0.571429,0.12238,0.004197,-0.567901,0.106878,0.002828,-0.570248,0.10548,0.003476,-0.550296,0.103351,0.004176,-0.484444,0.100075,0.004735,-0.415225,0.100254,0.005073,-0.32964,0.099665,0.005337,-0.267574,0.099975,0.00549,-1
-0.2,0.138935,0.00553,0.102041,0.113548,0.005168,0.234568,0.098465,0.004947,0.289256,0.091408,0.004458,0.349112,0.080837,0.004349,0.413333,0.074888,0.003924,0.439446,0.071212,0.003619,0.451524,0.070149,0.003743,0.446712,0.069613,0.00402,1
-0.56,0.075578,0.002348,-0.632653,0.080231,0.002326,-0.679012,0.077572,0.001833,-0.677686,0.076506,0.001726,-0.692308,0.080769,0.001895,-0.693333,0.085215,0.002049,-0.633218,0.086926,0.002179,-0.567867,0.085396,0.002402,-0.489796,0.082134,0.00271,-1
-0.6,0.155719,0.004673,-0.612245,0.167259,0.00324,-0.555556,0.144365,0.003115,-0.553719,0.115518,0.004435,-0.621302,0.102527,0.004048,-0.697778,0.094375,0.003855,-0.754325,0.08858,0.00374,-0.750693,0.086096,0.003462,-0.723356,0.082753,0.003357,-1
-0.28,0.08941,0.002585,-0.183673,0.082877,0.002851,-0.061728,0.079039,0.002567,-0.008264,0.069778,0.002604,0.029586,0.066952,0.00254,0.075556,0.063718,0.002508,0.128028,0.060075,0.002388,0.135734,0.057711,0.002353,0.120181,0.056537,0.002246,1
-0.6,0.086393,0.001018,-0.510204,0.082902,0.00182,-0.382716,0.083826,0.002249,-0.22314,0.074602,0.00279,-0.12426,0.071041,0.00289,-0.04,0.066695,0.002973,0.027682,0.063656,0.00288,0.094183,0.061716,0.002787,0.14059,0.059118,0.002867,1
0,0,0,0,0,0,0,0,0,0,0.000772,0.000024,0,0.003846,0.000203,0,0.007365,0.000496,-0.00346,0.011452,0.000878,-0.024931,0.02315,0.002687,-0.070295,0.041983,0.007161,-1
0.04,0.076838,0.001991,0.183673,0.082877,0.001723,0.185185,0.08243,0.001795,0.140496,0.08366,0.002604,0.147929,0.084539,0.002993,0.102222,0.080448,0.002602,0.072664,0.077764,0.002493,0.063712,0.079699,0.002922,0.07483,0.083526,0.003198,1
-0.48,0.119029,0.003067,-0.591837,0.132629,0.002756,-0.592593,0.127782,0.003222,-0.545455,0.115553,0.003588,-0.47929,0.104178,0.003903,-0.417778,0.094867,0.004152,-0.425606,0.089681,0.004103,-0.487535,0.087055,0.003909,-0.53288,0.082648,0.003695,-1
-0.4,0.165104,0.009825,-0.489796,0.147838,0.014923,-0.481481,0.130808,0.012497,-0.454545,0.118682,0.011232,-0.39645,0.113034,0.009826,-0.337778,0.110645,0.00906,-0.352941,0.108684,0.008028,-0.368421,0.106396,0.007279,-0.380952,0.10557,0.006902,-1
0,0,0,0,0.011385,0.00056,-0.074074,0.053759,0.00573,-0.165289,0.086674,0.008525,-0.242604,0.098948,0.007672,-0.266667,0.098328,0.006902,-0.301038,0.096263,0.006404,-0.33795,0.099345,0.006258,-0.365079,0.099814,0.006061,-1
-0.24,0.116358,0.014523,-0.142857,0.148666,0.02769,-0.08642,0.121999,0.019324,-0.041322,0.108591,0.015689,0.011834,0.099012,0.014585,0.066667,0.092342,0.014219,0.110727,0.086968,0.013926,0.146814,0.082868,0.013702,0.176871,0.079854,0.013047,-1
-1,0.07092,0.000972,-1,0.082195,0.001371,-0.975309,0.075745,0.001928,-0.966942,0.069344,0.00184,-0.946746,0.064589,0.001725,-0.897778,0.062381,0.001643,-0.851211,0.061283,0.001522,-0.747922,0.05963,0.001545,-0.707483,0.062081,0.00179,1
-0.6,0.07095,0.000682,-0.693878,0.0679,0.000653,-0.753086,0.074318,0.001466,-0.801653,0.076817,0.002555,-0.745562,0.076313,0.002393,-0.684444,0.073071,0.002091,-0.66436,0.06856,0.002254,-0.6759,0.070031,0.002541,-0.696145,0.07007,0.00246,-1
-0.04,0.087651,0.003094,0.142857,0.073965,0.002845,0.333333,0.066798,0.002734,0.438017,0.061044,0.002801,0.514793,0.056946,0.002874,0.555556,0.055515,0.002742,0.557093,0.055992,0.002722,0.534626,0.056722,0.00272,0.512472,0.055881,0.002654,1
-1,0.068364,0.000823,-0.938776,0.066267,0.00057,-0.839506,0.06491,0.000462,-0.785124,0.060824,0.000552,-0.727811,0.057538,0.000653,-0.693333,0.059664,0.000728,-0.66782,0.060831,0.001079,-0.65651,0.060212,0.001222,-0.664399,0.062199,0.001499,-1
0,0.052942,0.002204,-0.163265,0.104869,0.00562,-0.308642,0.131927,0.00942,-0.31405,0.128952,0.006798,-0.301775,0.11629,0.005936,-0.32,0.109465,0.00628,-0.349481,0.102771,0.006699,-0.376731,0.095218,0.007048,-0.387755,0.091166,0.00736,-1
-0.68,0.118187,0.003278,-0.469388,0.093728,0.002852,-0.358025,0.078645,0.002817,-0.371901,0.074804,0.002812,-0.384615,0.076133,0.002905,-0.368889,0.070089,0.00278,-0.356401,0.063449,0.002477,-0.34626,0.062238,0.002335,-0.337868,0.060507,0.002433,1
-1,0.080358,0.00176,-1,0.074984,0.001628,-0.938272,0.071398,0.001491,-0.876033,0.065722,0.001367,-0.822485,0.062652,0.001333,-0.804444,0.065314,0.001713,-0.795848,0.068466,0.001947,-0.745152,0.066892,0.0017,-0.671202,0.064063,0.001725,-1
-1,0.05123,0.001745,-0.959184,0.055459,0.00158,-0.888889,0.052112,0.001394,-0.867769,0.05292,0.001232,-0.852071,0.061616,0.00138,-0.848889,0.066781,0.001647,-0.84083,0.065539,0.001758,-0.828255,0.063971,0.00158,-0.816327,0.067339,0.002009,-1
0,0.016722,0.001254,-0.040816,0.025727,0.002547,-0.074074,0.032625,0.00351,-0.099174,0.041427,0.003754,-0.142012,0.050147,0.005109,-0.16,0.058147,0.006111,-0.179931,0.063847,0.006218,-0.207756,0.06935,0.006755,-0.24263,0.071464,0.006776,-1
-0.92,0.101366,0.001551,-0.673469,0.093514,0.001686,-0.530864,0.083857,0.002,-0.38843,0.079088,0.00197,-0.325444,0.077725,0.00178,-0.324444,0.074521,0.001861,-0.32872,0.073295,0.001813,-0.32964,0.072535,0.001783,-0.333333,0.072412,0.002078,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001401,0.000043,-0.00346,0.009437,0.000832,-0.022161,0.023202,0.002869,-0.063492,0.036868,0.004964,-1
-0.44,0.099908,0.001571,-0.591837,0.088193,0.001132,-0.654321,0.074059,0.001466,-0.702479,0.067403,0.001459,-0.704142,0.061933,0.001345,-0.68,0.058819,0.001247,-0.653979,0.056752,0.001178,-0.639889,0.054887,0.001145,-0.623583,0.05343,0.001085,-1
-0.68,0.136435,0.003631,-0.693878,0.127105,0.004073,-0.691358,0.113089,0.003703,-0.727273,0.106632,0.003796,-0.757396,0.107688,0.003279,-0.768889,0.105295,0.003212,-0.782007,0.09893,0.003424,-0.797784,0.096624,0.003679,-0.809524,0.09495,0.003525,1
-0.2,0.070677,0.000471,-0.244898,0.063751,0.000555,-0.259259,0.069262,0.000779,-0.305785,0.076837,0.001702,-0.331361,0.079233,0.002444,-0.36,0.080519,0.0026,-0.380623,0.083729,0.002784,-0.409972,0.083781,0.002807,-0.435374,0.085452,0.003038,-1
-0.2,0.103631,0.002928,-0.102041,0.081026,0.003952,-0.012346,0.08732,0.005069,0.099174,0.085058,0.004914,0.16568,0.076573,0.004609,0.177778,0.072033,0.004373,0.186851,0.068405,0.004264,0.202216,0.065609,0.004259,0.206349,0.063438,0.004057,1
-0.72,0.103597,0.002557,-0.795918,0.126076,0.003172,-0.703704,0.119673,0.002391,-0.652893,0.103513,0.002618,-0.591716,0.093131,0.002697,-0.493333,0.084798,0.002716,-0.449827,0.079576,0.002587,-0.426593,0.078037,0.002684,-0.421769,0.075248,0.002399,-1
-0.96,0.060046,0.00028,-0.938776,0.056294,0.000492,-0.938272,0.064606,0.000738,-0.909091,0.065867,0.000762,-0.869822,0.064743,0.000859,-0.804444,0.064049,0.001122,-0.730104,0.062464,0.001247,-0.67313,0.060665,0.001366,-0.632653,0.058525,0.001452,-1
-0.84,0.092611,0.002748,-0.836735,0.088672,0.002851,-0.753086,0.078977,0.002418,-0.652893,0.075177,0.002759,-0.550296,0.075965,0.00294,-0.502222,0.073118,0.002216,-0.474048,0.071212,0.001962,-0.473684,0.068509,0.001861,-0.496599,0.065495,0.001709,1
-0.96,0.045421,0.000445,-0.938776,0.054838,0.001451,-0.91358,0.063717,0.002392,-0.818182,0.067405,0.002454,-0.757396,0.065212,0.002486,-0.751111,0.065712,0.002309,-0.757785,0.064922,0.001987,-0.709141,0.064629,0.00179,-0.643991,0.06459,0.001713,-1
0.04,0.040348,0.000631,-0.142857,0.052756,0.001377,-0.259259,0.063702,0.001467,-0.380165,0.069522,0.00129,-0.467456,0.074873,0.001453,-0.515556,0.076276,0.001362,-0.564014,0.073796,0.001304,-0.584488,0.071143,0.001367,-0.632653,0.074107,0.001499,-1
-0.32,0.106595,0.002715,-0.408163,0.110805,0.003483,-0.45679,0.104986,0.003519,-0.471074,0.100672,0.003929,-0.491124,0.095282,0.003515,-0.497778,0.090426,0.003649,-0.50519,0.088302,0.003545,-0.506925,0.085956,0.003596,-0.505669,0.081414,0.003449,-1
-1,0.057667,0.001429,-1,0.051884,0.001323,-0.987654,0.048869,0.001338,-0.991736,0.046675,0.001134,-0.994083,0.044838,0.000973,-0.995556,0.044072,0.000821,-0.99654,0.045836,0.000917,-0.99723,0.046441,0.000944,-0.99093,0.045792,0.000815,-1
-0.96,0.053333,0.000571,-0.877551,0.043422,0.000334,-0.91358,0.036414,0.000274,-0.942149,0.038227,0.000457,-0.940828,0.041888,0.000785,-0.942222,0.045408,0.001251,-0.920415,0.052631,0.001721,-0.886427,0.06333,0.002595,-0.834467,0.068111,0.002905,-1
-1,0.056182,0.000952,-0.918367,0.056148,0.001287,-0.753086,0.051401,0.001463,-0.652893,0.047782,0.00163,-0.621302,0.045584,0.00167,-0.591111,0.044371,0.001648,-0.591696,0.044628,0.001687,-0.617729,0.044148,0.001697,-0.628118,0.044024,0.001652,1
-0.44,0.082731,0.000747,-0.346939,0.062057,0.001019,-0.407407,0.063757,0.001142,-0.404959,0.062168,0.001317,-0.39645,0.057696,0.001249,-0.351111,0.055888,0.001159,-0.307958,0.055474,0.001131,-0.290859,0.05368,0.001065,-0.292517,0.051041,0.000996,1
-1,0.059518,0.00172,-1,0.069571,0.001857,-0.950617,0.074295,0.001732,-0.900826,0.074065,0.001637,-0.846154,0.069906,0.001517,-0.777778,0.064668,0.001395,-0.723183,0.060759,0.001269,-0.66759,0.058068,0.001258,-0.637188,0.055413,0.001238,-1
-0.44,0.066349,0.000531,-0.142857,0.063808,0.00081,0.037037,0.057919,0.000979,0.123967,0.058242,0.001245,0.12426,0.058028,0.001265,0.075556,0.053868,0.001274,0.017301,0.052635,0.001192,-0.085873,0.051212,0.001106,-0.188209,0.050018,0.001102,1
-0.04,0.057085,0.000558,0.061224,0.052771,0.000516,0.185185,0.051506,0.000602,0.206612,0.053601,0.000871,0.136095,0.056464,0.000916,0.04,0.054679,0.000981,-0.010381,0.053954,0.000913,-0.069252,0.054249,0.000861,-0.113379,0.054461,0.000996,1
-0.96,0.032638,0.000282,-0.816327,0.034072,0.000229,-0.777778,0.030611,0.0002,-0.785124,0.032788,0.000227,-0.786982,0.034793,0.000361,-0.795556,0.039481,0.000948,-0.799308,0.047889,0.001886,-0.797784,0.055727,0.002704,-0.777778,0.058043,0.002828,-1
0,0,0,0,0.008986,0.000829,-0.037037,0.018028,0.001733,-0.07438,0.020181,0.00174,-0.076923,0.023554,0.002154,-0.08,0.033792,0.003565,-0.103806,0.045612,0.007114,-0.094183,0.052714,0.009528,-0.0839,0.054425,0.008552,-1
0.2,0.123168,0.004949,0.102041,0.109967,0.00468,0.135802,0.098608,0.004535,0.190083,0.087812,0.004,0.266272,0.079453,0.003723,0.324444,0.075999,0.003697,0.342561,0.074637,0.003801,0.32964,0.073193,0.003911,0.306122,0.069918,0.003817,1
0.28,0.08004,0.002432,0.22449,0.066774,0.001555,0.185185,0.062031,0.001685,0.206612,0.061165,0.001916,0.349112,0.060293,0.002156,0.422222,0.057157,0.002148,0.446367,0.05944,0.002684,0.451524,0.063629,0.00395,0.45805,0.065367,0.004109,1
-0.84,0.127831,0.002571,-0.714286,0.119264,0.003375,-0.604938,0.106058,0.003809,-0.603306,0.094601,0.004022,-0.550296,0.085922,0.00399,-0.524444,0.077908,0.003959,-0.546713,0.073166,0.003705,-0.570637,0.070969,0.003609,-0.582766,0.067696,0.003486,1
0,0.030238,0.000282,-0.081633,0.033543,0.000331,-0.160494,0.036103,0.000365,-0.214876,0.039999,0.000539,-0.254438,0.041851,0.000632,-0.28,0.041073,0.000702,-0.301038,0.040332,0.000746,-0.313019,0.040415,0.000818,-0.326531,0.039998,0.000845,-1
-0.2,0.044996,0.001473,-0.346939,0.060584,0.002924,-0.382716,0.067157,0.002874,-0.38843,0.064505,0.002572,-0.443787,0.07437,0.00386,-0.44,0.08292,0.005738,-0.415225,0.082672,0.00461,-0.440443,0.086538,0.004842,-0.46712,0.093715,0.005964,-1
-0.84,0.055906,0.000415,-0.77551,0.044615,0.000435,-0.765432,0.04549,0.001351,-0.719008,0.051359,0.002111,-0.674556,0.054363,0.002285,-0.635556,0.055118,0.002407,-0.591696,0.05486,0.002357,-0.542936,0.053978,0.002259,-0.498866,0.052564,0.00224,-1
-0.04,0.092403,0.002793,-0.346939,0.072334,0.002087,-0.481481,0.07813,0.002061,-0.487603,0.08465,0.003253,-0.372781,0.082084,0.003247,-0.297778,0.07434,0.003119,-0.304498,0.073705,0.002977,-0.33795,0.072768,0.002875,-0.385488,0.070357,0.002818,1
0,0.086498,0.006194,-0.142857,0.129581,0.011117,-0.197531,0.123312,0.008779,-0.198347,0.106754,0.007606,-0.260355,0.099995,0.006911,-0.288889,0.092448,0.006525,-0.32872,0.085292,0.006583,-0.368421,0.082972,0.006573,-0.387755,0.08027,0.006625,-1
-0.04,0.109884,0.003451,-0.183673,0.106425,0.002655,-0.234568,0.103036,0.002514,-0.190083,0.094098,0.002466,-0.183432,0.088137,0.002456,-0.235556,0.085254,0.00215,-0.314879,0.08244,0.002097,-0.368421,0.080547,0.002115,-0.401361,0.077639,0.002221,1
-0.68,0.091172,0.001953,-0.469388,0.086166,0.001724,-0.308642,0.076586,0.001944,-0.190083,0.070216,0.002004,-0.12426,0.066896,0.001953,-0.084444,0.064314,0.001907,-0.058824,0.062444,0.001842,0.00277,0.060512,0.001852,0.043084,0.059712,0.001817,1
-0.72,0.060625,0.00044,-0.755102,0.058161,0.000407,-0.753086,0.054628,0.000416,-0.785124,0.05552,0.000563,-0.769231,0.063677,0.001208,-0.76,0.068007,0.001741,-0.740484,0.068649,0.001871,-0.731302,0.073568,0.002258,-0.705215,0.07822,0.002532,-1
-1,0.098548,0.002595,-0.918367,0.101282,0.002124,-0.876543,0.090339,0.002537,-0.834711,0.081622,0.002728,-0.715976,0.074911,0.002843,-0.591111,0.068446,0.003039,-0.536332,0.064223,0.002966,-0.534626,0.061517,0.002791,-0.537415,0.06075,0.002686,1
-0.36,0.094088,0.004693,-0.428571,0.086178,0.003179,-0.481481,0.072822,0.002597,-0.479339,0.073537,0.002765,-0.43787,0.077273,0.002749,-0.391111,0.075693,0.002337,-0.349481,0.07104,0.002364,-0.32964,0.07676,0.003742,-0.31746,0.086971,0.005845,-1
-0.92,0.090629,0.002618,-0.877551,0.089954,0.001996,-0.82716,0.091344,0.001837,-0.801653,0.083257,0.002176,-0.763314,0.080863,0.00211,-0.751111,0.082058,0.002146,-0.726644,0.081196,0.00212,-0.709141,0.082225,0.002312,-0.687075,0.085418,0.002629,1
-0.12,0.049306,0.000713,0.102041,0.060068,0.001293,0.283951,0.056481,0.001117,0.371901,0.050266,0.001197,0.360947,0.048622,0.001082,0.342222,0.044515,0.000949,0.294118,0.043493,0.001021,0.268698,0.044697,0.001215,0.247166,0.044785,0.001116,1
-1,0.092984,0.002402,-0.857143,0.09141,0.002811,-0.703704,0.087665,0.00328,-0.595041,0.07962,0.002934,-0.52071,0.079755,0.004332,-0.488889,0.082619,0.004871,-0.456747,0.086482,0.004539,-0.437673,0.089041,0.004394,-0.453515,0.093057,0.004838,-1
-1,0.044058,0.000563,-1,0.046439,0.000487,-1,0.042512,0.000528,-1,0.045252,0.001321,-0.976331,0.050682,0.002188,-0.946667,0.054895,0.002638,-0.913495,0.056843,0.002747,-0.891967,0.056142,0.002757,-0.886621,0.056366,0.002804,1
-0.76,0.115741,0.001814,-0.55102,0.105779,0.00322,-0.333333,0.1016,0.00387,-0.272727,0.089117,0.002829,-0.254438,0.079285,0.002528,-0.262222,0.074071,0.002324,-0.307958,0.071875,0.002017,-0.362881,0.07097,0.001864,-0.419501,0.069875,0.00175,1
-0.32,0.102251,0.004718,-0.346939,0.085384,0.004607,-0.358025,0.077682,0.003826,-0.363636,0.071515,0.003194,-0.360947,0.068917,0.002717,-0.364444,0.06638,0.002579,-0.366782,0.063507,0.002385,-0.362881,0.06271,0.002271,-0.360544,0.061413,0.002124,-1
-0.36,0.08997,0.00137,0.020408,0.093143,0.002033,0.209877,0.083763,0.002193,0.239669,0.077904,0.002171,0.230769,0.070075,0.002376,0.244444,0.066036,0.0022,0.280277,0.061389,0.002097,0.33518,0.058694,0.001923,0.38322,0.057684,0.001851,1
-0.2,0.128555,0.003352,-0.020408,0.109449,0.004064,0.111111,0.096638,0.004281,0.206612,0.089011,0.004224,0.254438,0.083441,0.004153,0.28,0.082323,0.004276,0.307958,0.080234,0.004678,0.3241,0.07761,0.004584,0.319728,0.074554,0.004426,1
-0.68,0.123361,0.002702,-0.734694,0.101145,0.002119,-0.740741,0.087378,0.002014,-0.719008,0.076984,0.001931,-0.668639,0.068798,0.001864,-0.653333,0.064132,0.001851,-0.647059,0.061104,0.001862,-0.639889,0.057915,0.001916,-0.623583,0.054596,0.001942,-1
-1,0.037945,0.000926,-1,0.04133,0.001038,-1,0.049741,0.001023,-0.933884,0.056379,0.00122,-0.857988,0.064359,0.001834,-0.795556,0.073889,0.002902,-0.702422,0.07783,0.003313,-0.65651,0.075574,0.00278,-0.634921,0.072761,0.002777,-1
-1,0.087952,0.001342,-0.918367,0.079311,0.001055,-0.876543,0.0744,0.001296,-0.85124,0.071153,0.001462,-0.798817,0.068119,0.001442,-0.768889,0.066809,0.001305,-0.712803,0.062896,0.001321,-0.65651,0.061137,0.001275,-0.623583,0.057941,0.001111,1
-0.16,0.070152,0.000401,-0.183673,0.061199,0.000452,-0.209877,0.053254,0.000634,-0.214876,0.061252,0.000889,-0.266272,0.076854,0.002065,-0.342222,0.084755,0.002342,-0.401384,0.088814,0.002602,-0.445983,0.08967,0.002816,-0.480726,0.088569,0.002672,-1
-0.76,0.099575,0.002978,-0.714286,0.10257,0.002776,-0.679012,0.090742,0.002568,-0.652893,0.082808,0.002458,-0.597633,0.074403,0.002374,-0.546667,0.067883,0.0024,-0.522491,0.065819,0.002366,-0.501385,0.062919,0.002313,-0.487528,0.06241,0.002263,1
-1,0.087589,0.001352,-1,0.095079,0.001659,-0.950617,0.086191,0.002165,-0.884298,0.076939,0.002658,-0.775148,0.070782,0.00293,-0.653333,0.066413,0.002929,-0.543253,0.061961,0.002813,-0.518006,0.06004,0.002594,-0.503401,0.059729,0.002532,1
-0.92,0.034607,0.000412,-0.918367,0.031237,0.000238,-0.950617,0.035976,0.00058,-0.966942,0.041239,0.001095,-0.95858,0.047815,0.001443,-0.906667,0.054399,0.001713,-0.882353,0.058336,0.002396,-0.822715,0.060518,0.002603,-0.761905,0.058585,0.002362,-1
-1,0.04613,0.000815,-1,0.032466,0.000797,-1,0.05533,0.003425,-0.85124,0.066591,0.005009,-0.763314,0.057662,0.003195,-0.733333,0.057341,0.003377,-0.743945,0.059528,0.003949,-0.750693,0.056474,0.003485,-0.752834,0.055569,0.003271,1
-0.36,0.072332,0.000685,-0.346939,0.063211,0.000782,-0.432099,0.076228,0.001323,-0.512397,0.088567,0.002563,-0.568047,0.092452,0.003387,-0.613333,0.103106,0.00429,-0.622837,0.10833,0.004723,-0.623269,0.10932,0.004519,-0.61678,0.109378,0.004436,-1
-0.84,0.043503,0.000562,-0.897959,0.055999,0.001765,-0.888889,0.075078,0.003573,-0.826446,0.08495,0.003845,-0.745562,0.088572,0.003938,-0.626667,0.086997,0.003815,-0.522491,0.081114,0.003616,-0.448753,0.075264,0.003532,-0.399093,0.073086,0.003392,-1
-0.84,0.099609,0.003768,-0.755102,0.083006,0.002105,-0.777778,0.08491,0.003334,-0.785124,0.083504,0.005021,-0.763314,0.075042,0.004372,-0.746667,0.070168,0.003904,-0.747405,0.066091,0.003531,-0.756233,0.063612,0.003325,-0.768707,0.062981,0.003254,1
-0.36,0.060606,0.000966,-0.183673,0.055553,0.000853,-0.061728,0.053594,0.000915,-0.041322,0.055168,0.001003,-0.076923,0.055569,0.001044,-0.093333,0.053039,0.001089,-0.044983,0.052373,0.001157,-0.01108,0.052827,0.001029,-0.040816,0.053844,0.001169,1
-0.04,0.054793,0.000896,0.142857,0.059147,0.001111,0.333333,0.054013,0.000879,0.471074,0.044739,0.000946,0.538462,0.03856,0.000903,0.6,0.034375,0.00084,0.619377,0.031979,0.00075,0.639889,0.029544,0.000711,0.650794,0.028636,0.000663,1
-0.68,0.122004,0.002345,-0.673469,0.110383,0.002468,-0.62963,0.093389,0.002798,-0.504132,0.082307,0.00286,-0.455621,0.075872,0.00296,-0.431111,0.075063,0.003025,-0.418685,0.073028,0.002886,-0.407202,0.068373,0.002646,-0.401361,0.066108,0.002537,1
-0.52,0.047727,0.000272,-0.612245,0.038113,0.000291,-0.740741,0.043731,0.000635,-0.77686,0.061978,0.002592,-0.745562,0.07339,0.003104,-0.711111,0.073742,0.003072,-0.6609,0.075965,0.003017,-0.628809,0.07837,0.00312,-0.596372,0.077129,0.003112,-1
-0.84,0.106873,0.001888,-0.55102,0.104709,0.001664,-0.382716,0.082331,0.002264,-0.272727,0.072892,0.00215,-0.242604,0.068141,0.001951,-0.28,0.065585,0.001814,-0.314879,0.062765,0.001759,-0.34072,0.061825,0.001885,-0.37415,0.061475,0.002075,1
0.04,0.049021,0.000662,-0.183673,0.065523,0.001195,-0.308642,0.069592,0.001344,-0.38843,0.067529,0.001414,-0.426036,0.064792,0.001079,-0.466667,0.063391,0.001091,-0.536332,0.069447,0.001605,-0.592798,0.074625,0.002108,-0.614512,0.07542,0.002017,-1
-0.68,0.092007,0.000908,-0.612245,0.085563,0.000981,-0.567901,0.075698,0.001155,-0.545455,0.067197,0.001339,-0.526627,0.061935,0.001388,-0.528889,0.057634,0.001425,-0.529412,0.053571,0.001416,-0.520776,0.051469,0.001431,-0.514739,0.051215,0.00144,-1
-0.68,0.11962,0.002694,-0.469388,0.10297,0.002685,-0.45679,0.090165,0.002579,-0.438017,0.085465,0.002708,-0.420118,0.08189,0.002992,-0.404444,0.074956,0.002318,-0.391003,0.068882,0.002065,-0.401662,0.065734,0.001887,-0.410431,0.066165,0.001705,1
-0.76,0.036845,0.001375,-0.693878,0.049346,0.001953,-0.691358,0.05318,0.002566,-0.661157,0.059013,0.002974,-0.609467,0.05738,0.002723,-0.613333,0.057517,0.002632,-0.653979,0.059257,0.002742,-0.66759,0.060669,0.002864,-0.675737,0.061818,0.002873,-1
-1,0.081922,0.004839,-0.959184,0.090304,0.005495,-0.666667,0.077593,0.003548,-0.479339,0.070624,0.003403,-0.390533,0.067674,0.00295,-0.342222,0.065906,0.002657,-0.318339,0.064817,0.002437,-0.307479,0.062446,0.002276,-0.285714,0.061065,0.002322,-1
